,Area,Item,Element,Unit,Y2014,Y2015,Y2016,Y2017,Y2018
3,Eastern Africa,Grapefruit (inc. pomelos),Area harvested,ha,6419,6413,6557,6686,6839
4,Eastern Africa,Grapefruit (inc. pomelos),Yield,hg/ha,61980,61417,60357,59137,58597
5,Eastern Africa,Grapefruit (inc. pomelos),Production,tonnes,39785,39387,39574,39540,40073
6,Middle Africa,Grapefruit (inc. pomelos),Area harvested,ha,1658,1656,1667,1677,1686
7,Middle Africa,Grapefruit (inc. pomelos),Yield,hg/ha,122382,121449,122694,123126,123575
8,Middle Africa,Grapefruit (inc. pomelos),Production,tonnes,20295,20108,20452,20642,20830
9,Northern Africa,Grapefruit (inc. pomelos),Area harvested,ha,18292,25762,26557,22538,24143
10,Northern Africa,Grapefruit (inc. pomelos),Yield,hg/ha,164704,125950,122404,148098,142473
11,Northern Africa,Grapefruit (inc. pomelos),Production,tonnes,301274,324467,325073,333781,343966
12,Southern Africa,Grapefruit (inc. pomelos),Area harvested,ha,18800,17287,14751,15136,19031
13,Southern Africa,Grapefruit (inc. pomelos),Yield,hg/ha,248970,252819,247850,246617,259297
14,Southern Africa,Grapefruit (inc. pomelos),Production,tonnes,468063,437037,365595,373268,493475
15,Western Africa,Grapefruit (inc. pomelos),Area harvested,ha,4273,4313,4486,4509,4619
16,Western Africa,Grapefruit (inc. pomelos),Yield,hg/ha,57019,56972,57646,56841,57624
17,Western Africa,Grapefruit (inc. pomelos),Production,tonnes,24364,24573,25862,25631,26615
