,Area,Item,Element,Unit,Y2014,Y2015,Y2016,Y2017,Y2018
3,Eastern Africa,"Beans, dry",Area harvested,ha,4632340,4892636,5002190,5053850,5173500
4,Eastern Africa,"Beans, dry",Yield,hg/ha,9293,9537,9094,9451,9366
5,Eastern Africa,"Beans, dry",Production,tonnes,4304861,4666190,4548769,4776289,4845343
6,Middle Africa,"Beans, dry",Area harvested,ha,1732072,1731483,1709630,1693146,1698669
7,Middle Africa,"Beans, dry",Yield,hg/ha,6413,6655,6461,6412,6349
8,Middle Africa,"Beans, dry",Production,tonnes,1110696,1152295,1104593,1085579,1078553
9,Northern Africa,"Beans, dry",Area harvested,ha,51442,53862,39331,62772,51753
10,Northern Africa,"Beans, dry",Yield,hg/ha,27531,26414,24219,25530,25762
11,Northern Africa,"Beans, dry",Production,tonnes,141627,142270,95256,160259,133323
12,Southern Africa,"Beans, dry",Area harvested,ha,77064,84547,39220,67950,74987
13,Southern Africa,"Beans, dry",Yield,hg/ha,11102,9306,9604,11192,10153
14,Southern Africa,"Beans, dry",Production,tonnes,85553,78683,37668,76050,76132
15,Western Africa,"Beans, dry",Area harvested,ha,686954,688899,675789,710675,752578
16,Western Africa,"Beans, dry",Yield,hg/ha,9794,10267,10257,10661,10726
17,Western Africa,"Beans, dry",Production,tonnes,672783,707289,693168,757665,807227
