,Area,Item,Element,Unit,Y2014,Y2015,Y2016,Y2017,Y2018
3,Eastern Africa,Sugar cane,Area harvested,ha,548501,561163,577159,542364,547413
4,Eastern Africa,Sugar cane,Yield,hg/ha,689780,680556,654727,660790,661660
5,Eastern Africa,Sugar cane,Production,tonnes,37834504,38190293,37788148,35838885,36220107
6,Middle Africa,Sugar cane,Area harvested,ha,241927,243794,245367,247268,249144
7,Middle Africa,Sugar cane,Yield,hg/ha,220220,227459,229834,231592,233382
8,Middle Africa,Sugar cane,Production,tonnes,5327712,5545320,5639366,5726527,5814589
9,Northern Africa,Sugar cane,Area harvested,ha,217238,216223,216950,222372,225283
10,Northern Africa,Sugar cane,Yield,hg/ha,1019208,1010201,991163,978613,965966
11,Northern Africa,Sugar cane,Production,tonnes,22141064,21842924,21503331,21761645,21761542
12,Southern Africa,Sugar cane,Area harvested,ha,329086,315213,306810,311292,343630
13,Southern Africa,Sugar cane,Yield,hg/ha,704776,645909,670946,736981,724554
14,Southern Africa,Sugar cane,Production,tonnes,23193176,20359880,20585298,22941594,24897834
15,Western Africa,Sugar cane,Area harvested,ha,171489,179011,181863,182410,182146
16,Western Africa,Sugar cane,Yield,hg/ha,359665,355989,336764,337493,342104
17,Western Africa,Sugar cane,Production,tonnes,6167858,6372607,6124497,6156219,6231292
