,Area,Item,Element,Unit,Y2014,Y2015,Y2016,Y2017,Y2018
3,Eastern Africa,Lemons and limes,Area harvested,ha,12245,12621,12476,12555,116675
4,Eastern Africa,Lemons and limes,Yield,hg/ha,71819,71344,71711,68943,7433
5,Eastern Africa,Lemons and limes,Production,tonnes,87940,90040,89468,86556,86729
6,Middle Africa,Lemons and limes,Area harvested,ha,1440,1457,1452,1468,1483
7,Middle Africa,Lemons and limes,Yield,hg/ha,102021,103045,103195,103025,102860
8,Middle Africa,Lemons and limes,Production,tonnes,14695,15011,14983,15126,15250
9,Northern Africa,Lemons and limes,Area harvested,ha,47376,50721,58718,61417,58522
10,Northern Africa,Lemons and limes,Yield,hg/ha,155899,156634,137608,138806,143007
11,Northern Africa,Lemons and limes,Production,tonnes,738589,794459,808010,852506,836910
12,Southern Africa,Lemons and limes,Area harvested,ha,13600,16034,15997,21999,23331
13,Southern Africa,Lemons and limes,Yield,hg/ha,241471,220272,202245,202892,203228
14,Southern Africa,Lemons and limes,Production,tonnes,328401,353180,323526,446340,474149
15,Western Africa,Lemons and limes,Area harvested,ha,9649,9894,10197,9926,12326
16,Western Africa,Lemons and limes,Yield,hg/ha,90583,87048,80866,93253,86543
17,Western Africa,Lemons and limes,Production,tonnes,87403,86128,82459,92563,106668
