,Area,Item,Element,Unit,Y2014,Y2015,Y2016,Y2017,Y2018
3,Eastern Africa,Maize,Area harvested,ha,16156325,15432162,16228891,16192008,16342421
4,Eastern Africa,Maize,Yield,hg/ha,19438,18600,17308,18968,17738
5,Eastern Africa,Maize,Production,tonnes,31404158,28704341,28088214,30713567,28987944
6,Middle Africa,Maize,Area harvested,ha,5758764,5937033,6910901,7479061,7135649
7,Middle Africa,Maize,Yield,hg/ha,10643,10904,10187,10012,10199
8,Middle Africa,Maize,Production,tonnes,6128988,6473696,7039983,7488399,7277868
9,Northern Africa,Maize,Area harvested,ha,1224420,1227926,1205002,1267062,1123174
10,Northern Africa,Maize,Yield,hg/ha,67062,64765,66419,68812,66518
11,Northern Africa,Maize,Production,tonnes,8211151,7952636,8003521,8718959,7471105
12,Southern Africa,Maize,Area harvested,ha,3047279,2876103,2140697,2952887,2612469
13,Southern Africa,Maize,Yield,hg/ha,47622,35342,37092,58133,48896
14,Southern Africa,Maize,Production,tonnes,14511802,10164623,7940341,17165904,12773868
15,Western Africa,Maize,Area harvested,ha,11769475,12376971,12511619,12929015,11459518
16,Western Africa,Maize,Yield,hg/ha,16034,16369,17607,16489,19538
17,Western Africa,Maize,Production,tonnes,18871239,20260366,22029707,21318606,22390091
