,Area,Item,Element,Unit,Y2014,Y2015,Y2016,Y2017,Y2018
3,Eastern Africa,Bananas,Area harvested,ha,1418962,1399177,1358722,1500000,1609743
4,Eastern Africa,Bananas,Yield,hg/ha,82074,81627,83245,66869,67806
5,Eastern Africa,Bananas,Production,tonnes,11646030,11421079,11310637,10030389,10915031
6,Middle Africa,Bananas,Area harvested,ha,319679,317635,327707,342817,330830
7,Middle Africa,Bananas,Yield,hg/ha,159212,165569,170165,171256,158263
8,Middle Africa,Bananas,Production,tonnes,5089670,5259061,5576421,5870959,5235809
9,Northern Africa,Bananas,Area harvested,ha,70920,75737,81665,83806,89693
10,Northern Africa,Bananas,Yield,hg/ha,357503,337938,301027,311968,296533
11,Northern Africa,Bananas,Production,tonnes,2535420,2559442,2458326,2614488,2659701
12,Southern Africa,Bananas,Area harvested,ha,9043,8687,6398,6851,8633
13,Southern Africa,Bananas,Yield,hg/ha,512171,508521,494899,499113,523279
14,Southern Africa,Bananas,Production,tonnes,463151,441757,316652,341927,451736
15,Western Africa,Bananas,Area harvested,ha,83111,83578,85006,87490,85891
16,Western Africa,Bananas,Yield,hg/ha,122674,127051,129727,131245,134559
17,Western Africa,Bananas,Production,tonnes,1019552,1061867,1102757,1148258,1155737
