,Area,Item,Element,Unit,Y2014,Y2015,Y2016,Y2017,Y2018,Total
3,Eastern Africa,Sesame seed,Area harvested,ha,2346776,2393220,2277983,2112441,2267464,
4,Eastern Africa,Sesame seed,Yield,hg/ha,7755,7992,5866,7088,5809,
5,Eastern Africa,Sesame seed,Production,tonnes,1820035,1912773,1336245,1497244,1317059,7883356.0
6,Middle Africa,Sesame seed,Area harvested,ha,517513,417143,402708,421025,434345,
7,Middle Africa,Sesame seed,Yield,hg/ha,5451,5556,6000,5777,5523,
8,Middle Africa,Sesame seed,Production,tonnes,282117,231773,241639,243212,239890,1238631.0
9,Northern Africa,Sesame seed,Area harvested,ha,2560924,1487918,2165403,2731380,3514725,
10,Northern Africa,Sesame seed,Yield,hg/ha,2969,2553,2616,2996,2919,
11,Northern Africa,Sesame seed,Production,tonnes,760258,379900,566364,818224,1025798,3550544.0
12,Western Africa,Sesame seed,Area harvested,ha,1328529,1092129,1041766,1047102,1332359,
13,Western Africa,Sesame seed,Yield,hg/ha,6511,7102,7209,7875,7445,
14,Western Africa,Sesame seed,Production,tonnes,865034,775670,751008,824625,991957,4208294.0
