,Area,Item,Element,Unit,Y2014,Y2015,Y2016,Y2017,Y2018
3,Eastern Africa,Sorghum,Area harvested,ha,5339784,5241702,5273907,5286480,5288500
4,Eastern Africa,Sorghum,Yield,hg/ha,14025,14009,13759,14222,14413
5,Eastern Africa,Sorghum,Production,tonnes,7489022,7342928,7256273,7518559,7622380
6,Middle Africa,Sorghum,Area harvested,ha,2081972,2075407,2336514,2361962,2311553
7,Middle Africa,Sorghum,Yield,hg/ha,10351,10317,10386,10277,10816
8,Middle Africa,Sorghum,Production,tonnes,2155091,2141121,2426616,2427307,2500161
9,Northern Africa,Sorghum,Area harvested,ha,8533340,5354879,9310233,6456710,7274503
10,Northern Africa,Sorghum,Yield,hg/ha,8310,6486,7735,7063,7979
11,Northern Africa,Sorghum,Production,tonnes,7091523,3473432,7201671,4560103,5804304
12,Southern Africa,Sorghum,Area harvested,ha,189101,137368,103784,127165,106153
13,Southern Africa,Sorghum,Yield,hg/ha,15550,12489,9044,15354,14352
14,Southern Africa,Sorghum,Production,tonnes,294043,171566,93863,195251,152353
15,Western Africa,Sorghum,Area harvested,ha,13126097,13434210,14754723,14107081,14730066
16,Western Africa,Sorghum,Yield,hg/ha,9347,9655,9117,8990,9303
17,Western Africa,Sorghum,Production,tonnes,12268751,12970761,13451241,12682514,13703207
